"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"TG(18:1(11Z)/16:0/18:2(9Z,12Z))","214.8 +/- 22.0","N/A","N/A","6.560E-06 g/L","10.76","856.75199094"
"TG(18:1(11Z)/16:0/18:3(9Z,12Z,15Z))","90.9 +/- 9.6","N/A","N/A","6.670E-06 g/L","10.77","854.736340876"
"TG(18:1(11Z)/16:0/20:4(5Z,8Z,11Z,14Z))","53.6 +/- 6.0","N/A","N/A","6.000E-06 g/L","10.81","880.75199094"
"TG(18:1(11Z)/16:1(9Z)/18:1(11Z))","214.8 +/- 22.0","N/A","N/A","6.180E-06 g/L","10.74","856.751990932"
"TG(18:1(11Z)/16:1(9Z)/18:1(9Z))","214.8 +/- 22.0","N/A","N/A","6.430E-06 g/L","10.74","856.75199094"
"TG(18:1(11Z)/16:1(9Z)/18:2(9Z,12Z))","90.9 +/- 9.6","N/A","N/A","6.540E-06 g/L","10.74","854.736340876"
"TG(18:1(11Z)/18:0/18:1(11Z))","21.5 +/- 4.3","N/A","N/A","7.510E-06 g/L","10.74","886.798941124"
"TG(18:1(11Z)/18:0/18:1(9Z))","21.5 +/- 4.3","N/A","N/A","7.530E-06 g/L","10.74","886.798941133"
"TG(18:1(11Z)/18:0/18:2(9Z,12Z))","69.1 +/- 9.5","N/A","N/A","6.270E-06 g/L","10.83","884.783291069"
"TG(18:1(9Z)/14:0/18:1(9Z))","79.8 +/- 8.9","N/A","N/A","7.290E-06 g/L","10.72","830.736340868"
"TG(18:1(9Z)/14:0/18:2(9Z,12Z))","57.1 +/- 5.5","N/A","N/A","6.480E-06 g/L","10.72","828.720690811"
"TG(18:1(9Z)/14:0/20:4(5Z,8Z,11Z,14Z))","32.0 +/- 1.4","N/A","N/A","6.490E-06 g/L","10.71","852.720690811"
"TG(18:1(9Z)/16:0/18:3(9Z,12Z,15Z))","90.9 +/- 9.6","N/A","N/A","6.660E-06 g/L","10.78","854.736340876"
"TG(18:1(9Z)/16:0/20:2(11Z,14Z))","69.1 +/- 9.5","N/A","N/A","6.250E-06 g/L","10.83","884.783291069"
"TG(18:1(9Z)/16:0/20:5(5Z,8Z,11Z,14Z,17Z))","36.5 +/- 2.6","N/A","N/A","8.340E-06 g/L","10.72","878.736340876"
"TG(18:1(9Z)/16:0/22:5(7Z,10Z,13Z,16Z,19Z))","23.5 +/- 2.6","N/A","N/A","8.410E-06 g/L","10.77","906.767641004"
"TG(18:1(9Z)/18:0/18:3(9Z,12Z,15Z))","68.5 +/- 10.3","N/A","N/A","6.680E-06 g/L","10.81","882.767641004"
"TG(18:1(9Z)/18:1(11Z)/18:1(9Z))","69.1 +/- 9.5","N/A","N/A","6.510E-06 g/L","10.81","884.78329106"
"TG(18:1(9Z)/18:1(11Z)/18:2(9Z,12Z))","68.5 +/- 10.3","N/A","N/A","6.400E-06 g/L","10.78","882.767641004"
"TG(18:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","53.6 +/- 6.0","N/A","N/A","6.090E-06 g/L","10.77","880.75199094"
"TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))","53.6 +/- 6.0","N/A","N/A","6.290E-06 g/L","10.76","880.75199094"
"TG(18:2(9Z,12Z)/14:0/18:2(9Z,12Z))","18.9 +/- 3.2","N/A","N/A","6.780E-06 g/L","10.69","826.70504074"
"TG(18:2(9Z,12Z)/16:0/18:3(9Z,12Z,15Z))","32.0 +/- 1.4","N/A","N/A","6.640E-06 g/L","10.67","852.720690811"
"TG(18:2(9Z,12Z)/16:0/20:2(11Z,14Z))","68.5 +/- 10.3","N/A","N/A","6.510E-06 g/L","10.79","882.767641004"
"TG(18:2(9Z,12Z)/18:0/18:3(9Z,12Z,15Z))","53.6 +/- 6.0","N/A","N/A","6.290E-06 g/L","10.78","880.75199094"
"TG(18:2(9Z,12Z)/18:1(11Z)/18:2(9Z,12Z))","53.6 +/- 6.0","N/A","N/A","6.270E-06 g/L","10.73","880.751990932"
"TG(18:2(9Z,12Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","36.5 +/- 2.6","N/A","N/A","7.780E-06 g/L","10.67","878.736340876"
"TG(18:2(9Z,12Z)/18:1(9Z)/18:3(9Z,12Z,15Z))","36.5 +/- 2.6","N/A","N/A","7.910E-06 g/L","10.67","878.736340876"
"TG(18:2(9Z,12Z)/18:1(9Z)/20:3(8Z,11Z,14Z))","23.5 +/- 2.6","N/A","N/A","8.100E-06 g/L","10.74","906.767641004"
"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:2(11Z,14Z))","23.5 +/- 2.6","N/A","N/A","8.130E-06 g/L","10.74","906.767641004"
"TG(18:3(9Z,12Z,15Z)/18:0/18:3(9Z,12Z,15Z))","36.5 +/- 2.6","N/A","N/A","7.930E-06 g/L","10.69","878.736340868"
"PG(16:0/18:1(11Z))","0.604 +/- 0.044","N/A","N/A","1.030E-04 g/L","N/A","748.525435196"
"PG(16:0/18:1(9Z))","0.604 +/- 0.044","N/A","N/A","1.020E-04 g/L","8.16","748.525435196"
"PG(16:0/18:2(9Z,12Z))","0.080 +/- 0.010","N/A","N/A","1.060E-04 g/L","8.04","746.509785132"
"PG(16:0/20:3(5Z,8Z,11Z))","0.338 +/- 0.052","N/A","N/A","8.350E-05 g/L","8.34","772.525435196"
"PG(16:0/20:3(8Z,11Z,14Z))","0.338 +/- 0.052","N/A","N/A","8.320E-05 g/L","8.24","772.525435196"
"PG(16:0/20:4(5Z,8Z,11Z,14Z))","0.217 +/- 0.036","N/A","N/A","8.880E-05 g/L","8.01","770.509785132"
"PG(16:0/22:4(7Z,10Z,13Z,16Z))","0.191 +/- 0.026","N/A","N/A","7.760E-05 g/L","8.41","798.54108526"
"PG(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","0.605 +/- 0.127","N/A","N/A","7.950E-05 g/L","8.31","796.525435196"
"PG(16:0/22:5(7Z,10Z,13Z,16Z,19Z))","0.605 +/- 0.127","N/A","N/A","7.890E-05 g/L","8.21","796.525435196"
"PG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.919 +/- 0.137","N/A","N/A","8.880E-05 g/L","7.99","794.509785132"
"PG(16:1(9Z)/18:0)","0.604 +/- 0.044","N/A","N/A","1.020E-04 g/L","8.17","748.525435196"
"PG(16:1(9Z)/18:1(11Z))","0.080 +/- 0.010","N/A","N/A","1.050E-04 g/L","8.01","746.509785132"
"PG(16:1(9Z)/18:1(9Z))","0.080 +/- 0.010","N/A","N/A","1.050E-04 g/L","8.02","746.509785132"
"PG(16:1(9Z)/20:3(5Z,8Z,11Z))","0.217 +/- 0.036","N/A","N/A","9.050E-05 g/L","7.98","770.509785132"
"PG(16:1(9Z)/20:3(8Z,11Z,14Z))","0.217 +/- 0.036","N/A","N/A","9.250E-05 g/L","7.93","770.509785132"
"PG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","0.351 +/- 0.025","N/A","N/A","9.680E-05 g/L","7.74","768.494135068"
"PG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","0.605 +/- 0.127","N/A","N/A","8.280E-05 g/L","8.17","796.525435196"
"PG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.919 +/- 0.137","N/A","N/A","9.020E-05 g/L","7.91","794.509785132"
"PG(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.919 +/- 0.137","N/A","N/A","9.310E-05 g/L","7.78","794.509785132"
"PG(18:0/16:1(9Z))","0.604 +/- 0.044","N/A","N/A","1.020E-04 g/L","8.17","748.525435196"
"PG(18:0/18:1(11Z))","1.59 +/- 0.12","N/A","N/A","8.440E-05 g/L","8.57","776.556735324"
"PG(18:0/18:1(9Z))","1.59 +/- 0.12","N/A","N/A","8.460E-05 g/L","8.58","776.556735324"
"PG(18:0/18:2(9Z,12Z))","0.194 +/- 0.010","N/A","N/A","8.420E-05 g/L","8.48","774.54108526"
"PG(18:0/18:3(6Z,9Z,12Z))","0.338 +/- 0.052","N/A","N/A","8.400E-05 g/L","8.30","772.525435196"
"PG(18:0/18:3(9Z,12Z,15Z))","0.338 +/- 0.052","N/A","N/A","8.290E-05 g/L","8.25","772.525435196"
"PG(18:0/20:4(5Z,8Z,11Z,14Z))","0.191 +/- 0.026","N/A","N/A","7.910E-05 g/L","8.48","798.54108526"
"PG(18:0/22:4(7Z,10Z,13Z,16Z))","0.323 +/- 0.019","N/A","N/A","7.070E-05 g/L","8.84","826.572385388"
"PG(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","0.159 +/- 0.029","N/A","N/A","7.210E-05 g/L","8.78","824.556735324"
"PG(18:0/22:5(7Z,10Z,13Z,16Z,19Z))","0.159 +/- 0.029","N/A","N/A","7.300E-05 g/L","8.68","824.556735324"
"PG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.145 +/- 0.021","N/A","N/A","7.900E-05 g/L","8.47","822.54108526"
"PG(18:1(11Z)/16:0)","0.604 +/- 0.044","N/A","N/A","1.030E-04 g/L","8.15","748.525435196"
"PG(18:1(11Z)/16:1(9Z))","0.080 +/- 0.010","N/A","N/A","1.060E-04 g/L","8.01","746.509785132"
"PG(18:1(11Z)/18:0)","1.59 +/- 0.12","N/A","N/A","8.450E-05 g/L","8.57","776.556735324"
"PG(18:1(11Z)/18:1(11Z))","0.194 +/- 0.010","N/A","N/A","8.480E-05 g/L","8.46","774.541085742"
"PG(18:1(11Z)/18:1(9Z))","0.194 +/- 0.010","N/A","N/A","8.440E-05 g/L","8.46","774.54108526"
"PG(18:1(11Z)/18:2(9Z,12Z))","0.338 +/- 0.052","N/A","N/A","8.240E-05 g/L","8.14","772.525435196"
"PG(18:1(11Z)/18:3(6Z,9Z,12Z))","0.217 +/- 0.036","N/A","N/A","9.120E-05 g/L","7.94","770.509785132"
"PG(18:1(11Z)/18:3(9Z,12Z,15Z))","0.217 +/- 0.036","N/A","N/A","9.240E-05 g/L","7.90","770.509785132"
"PG(18:1(11Z)/20:3(5Z,8Z,11Z))","0.191 +/- 0.026","N/A","N/A","7.970E-05 g/L","8.43","798.54108526"
"PG(18:1(11Z)/20:3(8Z,11Z,14Z))","0.191 +/- 0.026","N/A","N/A","7.780E-05 g/L","8.36","798.54108526"
"PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","0.605 +/- 0.127","N/A","N/A","7.910E-05 g/L","8.22","796.525435196"
"PG(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","0.159 +/- 0.029","N/A","N/A","7.420E-05 g/L","8.64","824.556735324"
"PG(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.145 +/- 0.021","N/A","N/A","8.000E-05 g/L","8.42","822.54108526"
"PG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.145 +/- 0.021","N/A","N/A","8.100E-05 g/L","8.30","822.54108526"
"PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.181 +/- 0.024","N/A","N/A","9.040E-05 g/L","8.04","820.525435196"
"PG(18:1(9Z)/16:0)","0.604 +/- 0.044","N/A","N/A","1.020E-04 g/L","8.17","748.525435196"
"PG(18:1(9Z)/16:1(9Z))","0.080 +/- 0.010","N/A","N/A","1.050E-04 g/L","8.02","746.509785132"
"PG(18:1(9Z)/18:0)","1.59 +/- 0.12","N/A","N/A","8.430E-05 g/L","8.58","776.556735324"
"PG(18:1(9Z)/18:1(11Z))","0.194 +/- 0.010","N/A","N/A","8.440E-05 g/L","8.47","774.54108526"
"PG(18:1(9Z)/18:1(9Z))","0.194 +/- 0.010","N/A","N/A","8.390E-05 g/L","8.47","774.541085742"
"PG(18:1(9Z)/18:2(9Z,12Z))","0.338 +/- 0.052","N/A","N/A","8.210E-05 g/L","8.16","772.525435196"
"PG(18:1(9Z)/18:3(6Z,9Z,12Z))","0.217 +/- 0.036","N/A","N/A","9.090E-05 g/L","7.95","770.509785132"
"PG(18:1(9Z)/18:3(9Z,12Z,15Z))","0.217 +/- 0.036","N/A","N/A","9.210E-05 g/L","7.91","770.509785132"
"PG(18:1(9Z)/20:3(5Z,8Z,11Z))","0.191 +/- 0.026","N/A","N/A","7.960E-05 g/L","8.43","798.54108526"
"PG(18:1(9Z)/20:3(8Z,11Z,14Z))","0.191 +/- 0.026","N/A","N/A","7.770E-05 g/L","8.36","798.54108526"
"PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","0.605 +/- 0.127","N/A","N/A","7.890E-05 g/L","8.24","796.525435196"
"PG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","0.159 +/- 0.029","N/A","N/A","7.420E-05 g/L","8.66","824.556735324"
"PG(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.145 +/- 0.021","N/A","N/A","7.960E-05 g/L","8.43","822.54108526"
"PG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.145 +/- 0.021","N/A","N/A","8.160E-05 g/L","8.33","822.54108526"
"PG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.181 +/- 0.024","N/A","N/A","8.670E-05 g/L","8.06","820.525435196"
"PG(18:2(9Z,12Z)/16:0)","0.080 +/- 0.010","N/A","N/A","1.060E-04 g/L","8.03","746.509785132"
"PG(18:2(9Z,12Z)/18:0)","0.194 +/- 0.010","N/A","N/A","8.420E-05 g/L","8.48","774.54108526"
"PG(18:2(9Z,12Z)/18:1(11Z))","0.338 +/- 0.052","N/A","N/A","8.250E-05 g/L","8.15","772.525435196"
"PG(18:2(9Z,12Z)/18:1(9Z))","0.338 +/- 0.052","N/A","N/A","8.210E-05 g/L","8.15","772.525435196"
"PG(18:2(9Z,12Z)/18:2(9Z,12Z))","0.217 +/- 0.036","N/A","N/A","9.310E-05 g/L","7.91","770.509785132"
"PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","0.351 +/- 0.025","N/A","N/A","9.890E-05 g/L","7.69","768.494135068"
"PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","0.351 +/- 0.025","N/A","N/A","1.010E-04 g/L","7.63","768.494135068"
"PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))","0.605 +/- 0.127","N/A","N/A","7.950E-05 g/L","8.23","796.525435196"
"PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))","0.605 +/- 0.127","N/A","N/A","8.340E-05 g/L","8.13","796.525435196"
"PG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","0.919 +/- 0.137","N/A","N/A","9.110E-05 g/L","7.83","794.509785132"
"PG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","0.145 +/- 0.021","N/A","N/A","8.140E-05 g/L","8.31","822.54108526"
"PG(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.181 +/- 0.024","N/A","N/A","9.070E-05 g/L","8.02","820.525435196"
"PG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.181 +/- 0.024","N/A","N/A","1.040E-04 g/L","7.95","820.525435196"
"PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.105 +/- 0.018","N/A","N/A","9.720E-05 g/L","7.72","818.509785132"
"PG(18:3(6Z,9Z,12Z)/18:0)","0.338 +/- 0.052","N/A","N/A","8.420E-05 g/L","8.30","772.525435196"
"PG(18:3(6Z,9Z,12Z)/18:1(11Z))","0.217 +/- 0.036","N/A","N/A","9.140E-05 g/L","7.95","770.509785132"
"PG(18:3(6Z,9Z,12Z)/18:1(9Z))","0.217 +/- 0.036","N/A","N/A","9.110E-05 g/L","7.95","770.509785132"
"PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))","0.351 +/- 0.025","N/A","N/A","9.870E-05 g/L","7.68","768.494135068"
"PG(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))","0.919 +/- 0.137","N/A","N/A","9.080E-05 g/L","7.90","794.509785132"
"PG(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))","0.919 +/- 0.137","N/A","N/A","9.280E-05 g/L","7.79","794.509785132"
"PG(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","0.181 +/- 0.024","N/A","N/A","1.030E-04 g/L","7.98","820.525435196"
"PG(18:3(6Z,9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.105 +/- 0.018","N/A","N/A","1.040E-04 g/L","7.76","818.509785132"
"PG(18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.105 +/- 0.018","N/A","N/A","1.020E-04 g/L","7.68","818.509785132"
"PG(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.116 +/- 0.019		","N/A","N/A","1.150E-04 g/L","7.53","816.494135068"
"PG(18:3(9Z,12Z,15Z)/18:0)","0.338 +/- 0.052","N/A","N/A","8.300E-05 g/L","8.23","772.525435196"
"PG(18:3(9Z,12Z,15Z)/18:1(11Z))","0.217 +/- 0.036","N/A","N/A","9.250E-05 g/L","7.90","770.509785132"
"PG(18:3(9Z,12Z,15Z)/18:1(9Z))","0.217 +/- 0.036","N/A","N/A","9.220E-05 g/L","7.91","770.509785132"
"PG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))","0.351 +/- 0.025","N/A","N/A","1.010E-04 g/L","7.63","768.494135068"
"PG(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))","0.919 +/- 0.137","N/A","N/A","8.970E-05 g/L","7.85","794.509785132"
"PG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))","0.919 +/- 0.137","N/A","N/A","9.310E-05 g/L","7.76","794.509785132"
"PG(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))","0.181 +/- 0.024","N/A","N/A","1.040E-04 g/L","7.95","820.525435196"
"PG(18:3(9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.105 +/- 0.018","N/A","N/A","9.720E-05 g/L","7.72","818.509785132"
"PG(18:3(9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.105 +/- 0.018","N/A","N/A","1.160E-04 g/L","7.65","818.509785132"
"PG(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.116 +/- 0.019		","N/A","N/A","1.290E-04 g/L","7.50","816.494135068"
"Selenite","0.0013 (0.00-0.0063)","N/A","N/A","N/A","-1.3","129.916915758"
"5-HETE","0.0119 +/- 0.0014","N/A","N/A","0.0016 g/L","5.88","320.23514489"
"PC(O-16:0/18:2(9Z,12Z))","12.70 +/- 4.07","N/A","N/A","2.410E-05 g/L","5.86","743.582890495"
"Brassicasterol","0.57 (0.25-1.8)","150 - 151 °C","488.00 to  489.00 °C. @  760.00 mm Hg (est)","0.0002336 mg/L @ 25 °C (est)","9.679 (est)","398.354866101"
"PC(20:3(8Z,11Z,14Z)/20:1(11Z))","2.59 (2.16-3.19)","N/A","N/A","2.720E-05 g/L","6.31","837.624755309"
"PC(22:1(13Z)/18:1(11Z))","0.36 (0.05-1.88)","N/A","N/A","2.360E-05 g/L","6.36","841.656055437"
"PC(P-16:0/14:0)","2.99 (2.39-3.84)","N/A","N/A","3.130E-05 g/L","5.37","689.535940303"
"PC(P-16:0/16:0)","13.6 (11.8-15.7)","N/A","N/A","2.570E-05 g/L","5.70","717.567240431"
"PC(P-16:0/16:1(9Z))","16.6 +/- 7.90","N/A","N/A","2.770E-05 g/L","5.62","715.551590367"
"PC(P-16:0/18:1(11Z))","173 (145-199)","N/A","N/A","2.360E-05 g/L","5.96","743.582890495"
"PC(P-16:0/18:1(9Z))","173 (145-199)","N/A","N/A","2.360E-05 g/L","5.96","743.582890495"
"PC(P-16:0/18:2(9Z,12Z))","315 (269-369)","N/A","N/A","2.660E-05 g/L","5.86","741.567240431"
"PC(P-16:0/18:3(6Z,9Z,12Z))","2.8 (2.33-3.53)","N/A","N/A","3.450E-05 g/L","5.82","739.551590367"
"PC(P-16:0/18:3(9Z,12Z,15Z))","2.8 (2.33-3.53)","N/A","N/A","3.430E-05 g/L","5.80","739.551590367"
"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))","2.8 (2.33-3.53)","N/A","N/A","3.690E-05 g/L","5.74","737.535940303"
"PC(P-16:0/20:0)","1.55 (1.27-1.89)","N/A","N/A","2.010E-05 g/L","6.26","773.629840687"
"PC(P-16:0/20:1(11Z))","19.8 (16.9-22.8)","N/A","N/A","2.510E-05 g/L","6.24","771.614190623"
"PC(P-16:0/20:2(11Z,14Z))","44.5 (37.6-53.3)","N/A","N/A","2.330E-05 g/L","6.16","769.598540559"
"PC(P-16:0/20:3(5Z,8Z,11Z))","63.7 (53.6-73.5)","N/A","N/A","3.050E-05 g/L","6.18","767.582890495"
"PC(P-16:0/20:3(8Z,11Z,14Z))","63.7 (53.6-73.5)","N/A","N/A","3.100E-05 g/L","6.13","767.582890495"
"PC(P-16:0/20:4(8Z,11Z,14Z,17Z))","135 (118-151)","N/A","N/A","3.460E-05 g/L","6.05","765.567240431"
"PC(P-16:0/22:0)","1.46 (1.21-1.76)","N/A","N/A","1.880E-05 g/L","6.52","801.661140815"
"PC(P-16:0/22:1(13Z))","1.23 +/- 0.46","N/A","N/A","2.110E-05 g/L","6.50","799.645490751"
"PC(P-16:0/22:4(7Z,10Z,13Z,16Z))","90.4 (78.8-104)","N/A","N/A","3.180E-05 g/L","6.38","793.598540559"
"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))","81.9(19.68)","N/A","N/A","3.680E-05 g/L","6.36","791.582890495"
"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","103.41(31.68)","N/A","N/A","3.960E-05 g/L","6.15","789.567240431"
"PC(P-16:0/24:1(15Z))","0.44(0.12)","N/A","N/A","2.060E-05 g/L","6.74","827.676790879"
"PC(P-16:0/P-16:0)","15.3 (12.7-18.3)","N/A","N/A","N/A","6.11","701.572326298"
"PC(P-16:0/P-18:1(11Z))","105 (91.8-119)","N/A","N/A","N/A","6.33","727.587976362"
"PC(P-16:0/P-18:1(9Z))","105 (91.8-119)","N/A","N/A","N/A","6.34","727.587976362"
"PC(P-18:0/14:0)","15.3 (12.7-18.3)","N/A","N/A","2.500E-05 g/L","5.70","717.567240431"
"PC(P-18:0/14:1(9Z))","16.6 +/- 7.90","N/A","N/A","2.760E-05 g/L","5.63","715.551590367"
"PC(P-18:0/16:1(9Z))","105 (91.8-119)","N/A","N/A","2.360E-05 g/L","5.96","743.582890495"
"PC(P-18:0/18:0)","3.14(1.2)","N/A","N/A","2.010E-05 g/L","6.26","773.629840687"
"PC(P-18:0/18:1(11Z))","60.62(19.39)","N/A","N/A","2.510E-05 g/L","6.24","771.614190623"
"PC(P-18:0/18:1(9Z))","60.62(19.39)","N/A","N/A","2.510E-05 g/L","6.24","771.614190623"
"PC(P-18:0/18:2(9Z,12Z))","267.03(66.1)","N/A","N/A","2.350E-05 g/L","6.17","769.598540559"
"PC(P-18:0/18:3(6Z,9Z,12Z))","165.5(44.39)","N/A","N/A","3.070E-05 g/L","6.17","767.582890495"
"PC(P-18:0/18:3(9Z,12Z,15Z))","165.5(44.39)","N/A","N/A","3.080E-05 g/L","6.12","767.582890495"
"PC(P-18:0/18:4(6Z,9Z,12Z,15Z))","228.74(50.69)","N/A","N/A","3.400E-05 g/L","6.07","765.567240431"
"PC(P-18:0/20:0)","3.48 +/- 0.95","N/A","N/A","1.880E-05 g/L","6.51","801.661140815"
"PC(P-18:0/20:1(11Z))","1.23 +/- 0.46","N/A","N/A","2.110E-05 g/L","6.51","799.645490751"
"PC(P-18:0/20:3(5Z,8Z,11Z))","62.34(20.77)","N/A","N/A","2.800E-05 g/L","6.48","795.614190623"
"PC(P-18:0/20:3(8Z,11Z,14Z))","62.34(20.77)","N/A","N/A","2.780E-05 g/L","6.43","795.614190623"
"PC(P-18:0/20:4(5Z,8Z,11Z,14Z))","147.79(39.15)","N/A","N/A","3.380E-05 g/L","6.42","793.598540559"
"PC(P-18:0/20:4(8Z,11Z,14Z,17Z))","147.79(39.15)","N/A","N/A","3.400E-05 g/L","6.38","793.598540559"
"PC(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))","81.9(19.68)","N/A","N/A","3.630E-05 g/L","6.34","791.582890495"
"PC(P-18:0/22:1(13Z))","0.35 (0.3-0.42)","N/A","N/A","2.060E-05 g/L","6.74","827.676790879"
"PC(P-18:0/22:2(13Z,16Z))","0.25 (0.2-0.37)","N/A","N/A","2.470E-05 g/L","6.75","825.661140815"
"PC(P-18:0/22:4(7Z,10Z,13Z,16Z))","2.59 (2.16-3.19)","N/A","N/A","3.250E-05 g/L","6.68","821.629840687"
"PC(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))","13.85(4.15)","N/A","N/A","3.550E-05 g/L","6.71","819.614190623"
"PC(P-18:0/22:5(7Z,10Z,13Z,16Z,19Z))","13.85(4.15)","N/A","N/A","3.600E-05 g/L","6.64","819.614190623"
"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","27.8 +/- 8.8","N/A","N/A","3.780E-05 g/L","6.54","817.598540559"
"PC(P-18:0/24:0)","0.45 (0.36-0.54)","N/A","N/A","1.630E-05 g/L","6.97","857.723741071"
"PC(P-18:0/24:1(15Z))","0.28 (0.22-0.34)","N/A","N/A","1.860E-05 g/L","6.96","855.708091007"
"PC(P-18:0/P-18:1(11Z))","19.8 (16.9-22.8)","N/A","N/A","N/A","6.64","755.619276491"
"PC(P-18:0/P-18:1(9Z))","19.8 (16.9-22.8)","N/A","N/A","N/A","6.65","755.619276491"
"PC(P-18:1(11Z)/14:0)","16.6 +/- 7.90","N/A","N/A","2.770E-05 g/L","5.62","715.551590367"
"PC(P-18:1(11Z)/14:1(9Z))","4.02 +/- 1.47","N/A","N/A","3.040E-05 g/L","5.49","713.535940303"
"PC(P-18:1(11Z)/16:0)","105 (91.8-119)","N/A","N/A","2.360E-05 g/L","5.96","743.582890495"
"PC(P-18:1(11Z)/16:1(9Z))","84.2 (71.2-101)","N/A","N/A","2.660E-05 g/L","5.83","741.567240431"
"PC(P-18:1(11Z)/18:0)","19.8 (16.9-22.8)","N/A","N/A","2.510E-05 g/L","6.23","771.614190623"
"PC(P-18:1(11Z)/18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","2.330E-05 g/L","6.15","769.598540559"
"PC(P-18:1(11Z)/18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","2.340E-05 g/L","6.15","769.598540559"
"PC(P-18:1(11Z)/18:2(9Z,12Z))","63.7 (53.6-73.5)","N/A","N/A","3.080E-05 g/L","6.10","767.582890495"
"PC(P-18:1(11Z)/18:3(6Z,9Z,12Z))","135 (118-151)","N/A","N/A","3.460E-05 g/L","6.04","765.567240431"
"PC(P-18:1(11Z)/18:3(9Z,12Z,15Z))","135 (118-151)","N/A","N/A","3.460E-05 g/L","6.02","765.567240431"
"PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","5.2 (4.18-6.71)","N/A","N/A","4.020E-05 g/L","5.92","763.551590367"
"PC(P-18:1(11Z)/20:0)","1.23 +/- 0.46","N/A","N/A","2.110E-05 g/L","6.51","799.645490751"
"PC(P-18:1(11Z)/20:2(11Z,14Z))","36.1 (31-41.9)","N/A","N/A","2.690E-05 g/L","6.39","795.614190623"
"PC(P-18:1(11Z)/20:3(5Z,8Z,11Z))","90.4 (78.8-104)","N/A","N/A","3.170E-05 g/L","6.39","793.598540559"
