"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"TG(16:0/16:1(9Z)/18:2(9Z,12Z))","57.1 +/- 5.5","N/A","N/A","6.470E-06 g/L","10.72","828.720690811"
"TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","32.0 +/- 1.4","N/A","N/A","6.470E-06 g/L","10.71","852.720690811"
"TG(16:0/18:1(9Z)/18:1(9Z))","139.5 +/- 10.0","N/A","N/A","7.690E-06 g/L","10.74","858.767641004"
"TG(16:0/18:1(9Z)/20:1(11Z))","21.5 +/- 4.3","N/A","N/A","7.520E-06 g/L","10.74","886.798941133"
"TG(16:0/18:1(9Z)/18:2(9Z,12Z))","214.8 +/- 22.0","N/A","N/A","6.600E-06 g/L","10.77","856.75199094"
"TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","53.6 +/- 6.0","N/A","N/A","5.990E-06 g/L","10.81","880.75199094"
"TG(16:0/18:2(9Z,12Z)/20:0)","21.5 +/- 4.3","N/A","N/A","7.920E-06 g/L","10.77","886.798941133"
"TG(16:0/18:2(9Z,12Z)/20:1(11Z))","69.1 +/- 9.5","N/A","N/A","6.670E-06 g/L","10.83","884.783291069"
"TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))","90.9 +/- 9.6","N/A","N/A","6.820E-06 g/L","10.75","854.736340876"
"TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","36.5 +/- 2.6","N/A","N/A","8.360E-06 g/L","10.71","878.736340876"
"TG(18:0/18:0/18:2(9Z,12Z))","21.5 +/- 4.3","N/A","N/A","7.920E-06 g/L","10.77","886.798941133"
"TG(18:0/18:1(9Z)/18:1(9Z))","21.5 +/- 4.3","N/A","N/A","7.550E-06 g/L","10.75","886.798941133"
"TG(18:0/18:1(9Z)/18:2(9Z,12Z))","69.1 +/- 9.5","N/A","N/A","6.640E-06 g/L","10.83","884.783291069"
"TG(18:0/18:2(9Z,12Z)/18:2(9Z,12Z))","68.5 +/- 10.3","N/A","N/A","6.520E-06 g/L","10.80","882.767641004"
"TG(18:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","23.5 +/- 2.6","N/A","N/A","7.900E-06 g/L","10.79","906.767641004"
"TG(20:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","0.01","N/A","N/A","6.030E-06 g/L","10.90","964.845891326"
"TG(16:1(9Z)/18:0/18:0)","29.6 +/- 1.9","N/A","N/A","1.100E-05 g/L","10.71","860.783291069"
"TG(16:1(9Z)/18:0/18:1(9Z))","139.5 +/- 10.0","N/A","N/A","7.690E-06 g/L","10.74","858.767641004"
"TG(16:1(9Z)/18:0/20:1(11Z))","21.5 +/- 4.3","N/A","N/A","7.520E-06 g/L","10.74","886.798941133"
"TG(16:1(9Z)/18:0/18:2(9Z,12Z))","214.8 +/- 22.0","N/A","N/A","6.600E-06 g/L","10.79","856.75199094"
"TG(16:1(9Z)/18:0/20:4(5Z,8Z,11Z,14Z))","53.6 +/- 6.0","N/A","N/A","5.980E-06 g/L","10.81","880.75199094"
